nome,significado,origem,url
Aagje,Formosa,Grega,https://www.dicionariodenomesproprios.com.br/aagje/
Aaliyah,"Significa “elevada”, “sublime”; “mulher sensível”.
Aaliyah é um nome árabe que surge do feminino Aali, variante de Ali, que literalmente significa “elevado”, “sublime”.","Hebraica, Árabe",https://www.dicionariodenomesproprios.com.br/aaliyah/
Aaminah,Dama da paz e harmonia.,Muçulmana,https://www.dicionariodenomesproprios.com.br/aaminah/
Abá,Esperança.,Afro-Brasileira,https://www.dicionariodenomesproprios.com.br/aba/
Abana,"Cabelo forte, cabelo duro.",Tupi,https://www.dicionariodenomesproprios.com.br/abana/
Abati,"Cabelos dourados, loiro.",Tupi,https://www.dicionariodenomesproprios.com.br/abati/
Abayomi,"Nome feminino, ""encontro feliz"".",Yorubá,https://www.dicionariodenomesproprios.com.br/abayomi/
Abdera,Irmã de Diomedes.,Árabe,https://www.dicionariodenomesproprios.com.br/abdera/
Abe,Apelido carinhoso de abade.,Hebraica,https://www.dicionariodenomesproprios.com.br/abe/
Abella,Bonita.,Latina,https://www.dicionariodenomesproprios.com.br/abella/
Abeona,Divindade romana.,Romana,https://www.dicionariodenomesproprios.com.br/abeona/
Abnara,Luz da sabedoria.,Grega,https://www.dicionariodenomesproprios.com.br/abnara/
Abra,Mãe das multidões. Foi a favorita de Salomão.,Hebraica,https://www.dicionariodenomesproprios.com.br/abra/
Aca,"Acca Larentia, personagem da mitologia romana.",Latina,https://www.dicionariodenomesproprios.com.br/aca/
Acácia,"Significa “inocente”, “a que não tem malícia”, “sem maldade”.
O nome tem origem no grego akákios, que quer dizer “inocência”, “que não tem maldade”.",Grega,https://www.dicionariodenomesproprios.com.br/acacia/
Acalântis,Deusa dos pássaros.,Mitológica,https://www.dicionariodenomesproprios.com.br/acalantis/
Aceí,Ofertar vinho.,Indígena,https://www.dicionariodenomesproprios.com.br/acei/
Acemira,Palavra formada pela transposição das letras de Iracema.,Indígena,https://www.dicionariodenomesproprios.com.br/acemira/
Achila,Feminino de Aquiles.,Grega,https://www.dicionariodenomesproprios.com.br/achila/
Acidália,Aquela que cuida de todos.,Grega,https://www.dicionariodenomesproprios.com.br/acidalia/
Acilda,Variante latinizada de Gilda.,Latina,https://www.dicionariodenomesproprios.com.br/acilda/
Acília,Abreviação de Acilina.,Latina,https://www.dicionariodenomesproprios.com.br/acilia/
Acilina,Fruto do carvalho.,Latina,https://www.dicionariodenomesproprios.com.br/acilina/
Acindina,Feminino de acindino.,Latina,https://www.dicionariodenomesproprios.com.br/acindina/
Acira,Objeto cortante.,Indígena,https://www.dicionariodenomesproprios.com.br/acira/
Acirema,Anagrama de América.,Latina,https://www.dicionariodenomesproprios.com.br/acirema/
Aclima,Irmã gêmea e mulher de Caim.,Hebraica,https://www.dicionariodenomesproprios.com.br/aclima/
Actéia,Nome de Ceres.,Grega,https://www.dicionariodenomesproprios.com.br/acteia/
Açucena,"Significa “pureza”, ""flor de lis"" ou “flor branca”.
Açucena é um nome feminino, considerado como uma variação de Susana, originado a partir do hebraico Shoushannah, de shoushan, e que quer dizer literalmente “lírio” ou “flor branca”.",Hebraica,https://www.dicionariodenomesproprios.com.br/acucena/
Adail,"Significa guia e defensora. Indica uma pessoa que é capaz de ajudar as outras porque confia muito em si própria. Isso lhe abre as portas para o sucesso e ela pode se realizar como psicóloga, professora ou conselheira sentimental.",Árabe,https://www.dicionariodenomesproprios.com.br/adail/
Adalbéria,Feminino de adálbero.,Indígena,https://www.dicionariodenomesproprios.com.br/adalberia/
Adalfreda,"Significa “nobre”, “pacífico”, “pessoa de qualidade e méritos”, “majestoso”.
O nome Adalfreda vem do também germânico Adolf e é a junção de adal, que significa “nobre”, com frid, que significa “pacífico”.",Germânica,https://www.dicionariodenomesproprios.com.br/adalfreda/
Adalfrida,Variação de Adalfreda.,Germânica,https://www.dicionariodenomesproprios.com.br/adalfrida/
Adalgisa,"Significa “promessa nobre”,  “preciosa”, “lança de nobreza”. 
O nome feminino Adalgisa tem origem a partir do germânico e carrega os significados de “promessa nobre”, “preciosa” ou “lança de nobreza”.",Germânica,https://www.dicionariodenomesproprios.com.br/adalgisa/
Adália,A que exala perfume.,Latina,https://www.dicionariodenomesproprios.com.br/adalia/
Adalina,Variante de Adália.,Latina,https://www.dicionariodenomesproprios.com.br/adalina/
Adalvina,Feminino de Adalvino.,Germânica,https://www.dicionariodenomesproprios.com.br/adalvina/
Adalzira,Ornamento nobre.,Germânica,https://www.dicionariodenomesproprios.com.br/adalzira/
Adamantina,Forma feminina para Adamantino.,Grega,https://www.dicionariodenomesproprios.com.br/adamantina/
Adameire,Filha da força.,Hebraica,https://www.dicionariodenomesproprios.com.br/adameire/
Adamina,Vinda da terra vermelha.,Hebraica,https://www.dicionariodenomesproprios.com.br/adamina/
Addae,"""sol nascente"".",Latina,https://www.dicionariodenomesproprios.com.br/addae/
Addolorata,Variação italiana de Dolores.,Italiana,https://www.dicionariodenomesproprios.com.br/addolorata/
Adela,"Significa “nobre”, ""aquela que provêm de família nobre"", ""amiga da nobreza"", “a forte”.
A origem desse bonito nome feminino é germânica, vem de athal, que significa literalmente “nobre”.","Inglesa, Germânica",https://www.dicionariodenomesproprios.com.br/adela/
Adelaide,"Significa “de qualidade nobre”, “de nobre linhagem”.
Originado do nome germânico Adelheid, Adalheidis, composto pelos elementos adal, athal, que significa “nobre” e haidu, “espécie, qualidade, tipo”.",Germânica,https://www.dicionariodenomesproprios.com.br/adelaide/
Adele,"Significa “nobre”, ""aquela que provêm de família nobre"" ou ""amiga da nobreza"".
Adele é a variante italiana de Adélia. Tem origem no nome germânico Athala, cuja raiz é athal, e significa literalmente “nobre”.",Germânica,https://www.dicionariodenomesproprios.com.br/adele/
Adelfa,Irmã afetuosa.,Germânica,https://www.dicionariodenomesproprios.com.br/adelfa/
Adélia,"Significa “nobre”.
Com origem no germânico Athala, de athal, literalmente “nobre”.",Germânica,https://www.dicionariodenomesproprios.com.br/adelia/
Adelina,"Significa “serpente nobre”, “serpente da nobreza” ou “pequena nobre”.
É um nome com dois possíveis étimos, um a partir do germânico Ethelyna, composto pela junção dos elementos athal, que significa “nobre” e lind que quer dizer “serpente”, e significa “serpente nobre, serpente da nobreza”.",Germânica,https://www.dicionariodenomesproprios.com.br/adelina/
Adeline,"Significa “aquela que é nobre” ou “amiga da nobreza”.
Adeline é um nome feminino francês, originado a partir do germânico athal, que quer dizer “nobre” ou “nobreza”.","Francesa, Germânica",https://www.dicionariodenomesproprios.com.br/adeline/
Adelita,"Significa “de qualidade nobre”, “de nobre linhagem”, “a forte”.
Adelita é um hipocorístico (termo afetivo) usado para mulheres registadas com o nome Adelaide ou, ainda, Adela - nome usado mais frequentemente nas línguas inglesa e espanhola.",Latina,https://www.dicionariodenomesproprios.com.br/adelita/
Adelmarina,Feminino de Adelmarino.,Germânica,https://www.dicionariodenomesproprios.com.br/adelmarina/
Adeona,Divindade romana.,Romana,https://www.dicionariodenomesproprios.com.br/adeona/
Adila,"Significa “nobre”.
É uma variante de Adélia, nome que tem origem no germânico Athala, a partir da palavra athal, que quer dizer literalmente “nobre”.",Germânica,https://www.dicionariodenomesproprios.com.br/adila/
Adilah,Aquela que sabe repartir com justiça.,Muçulmana,https://www.dicionariodenomesproprios.com.br/adilah/
Adília,Provavelmente variação de Adélia.,Teutônica,https://www.dicionariodenomesproprios.com.br/adilia/
Adina,"Significa “meu Senhor”; “lugar de delícias”, “de qualidade nobre”, “o Senhor concedeu benefício”, “ornamento, beleza”; “delicada”.
Adina tem não só uma mas pelo menos três possibilidades de étimos.","Hebraica, Árabe, Italiana, Inglesa, Fenícia",https://www.dicionariodenomesproprios.com.br/adina/
Adira,Sensível,Hebraica,https://www.dicionariodenomesproprios.com.br/adira/
Adisa,"Limpa, brilhante.",Grega,https://www.dicionariodenomesproprios.com.br/adisa/
Adolfina,Feminino diminutivo de Adolfo.,Teutônica,https://www.dicionariodenomesproprios.com.br/adolfina/
Adonaide,Nome poético da deusa Vênus.,Grega,https://www.dicionariodenomesproprios.com.br/adonaide/
Adônica,Doce.,Latina,https://www.dicionariodenomesproprios.com.br/adonica/
Adora,"Significa ""adoração"".
Esse nome é de origem espanhola, sendo a versão encurtada de Adoración, a qual tem origem na palavra espanhola adoración, que é ""adoração"".",Espanhola,https://www.dicionariodenomesproprios.com.br/adora/
Adorabela,Dádiva formosa.,Latina,https://www.dicionariodenomesproprios.com.br/adorabela/
Adoriabelle,Adorável e bela.,Francesa,https://www.dicionariodenomesproprios.com.br/adoriabelle/
Adorinda,"Adorável, querida.",Latina,https://www.dicionariodenomesproprios.com.br/adorinda/
Adosinda,Variante de Adozina.,Latina,https://www.dicionariodenomesproprios.com.br/adosinda/
Adozina,Perfume doce.,Latina,https://www.dicionariodenomesproprios.com.br/adozina/
Adrastea,De quem não se pode escapulir.,Grega,https://www.dicionariodenomesproprios.com.br/adrastea/
Adrastéia,"Deusa da vingança, significa. ""aquela a que não se pode escapar"".",Grega,https://www.dicionariodenomesproprios.com.br/adrasteia/
Adria,"Significa “água” ou “aquela que é escura”.
Há dua possibilidades de origem para Adria, uma a partir do etrusco adria, que quer dizer “água”. Outra a partir do latim ater, que significa “preto, escuro”.","Latina, Etrusca",https://www.dicionariodenomesproprios.com.br/adria/
Adriana,"Significa ""aquela que vem da Ádria"" ou ""aquela que é escura"".
Adriana vem do nome em latim Adrianus, que significa ""natural da Ádria"".  Em etrusco, essa palavra é traduzida como ""água"".",Latina,https://www.dicionariodenomesproprios.com.br/adriana/
