nome,significado,origem,url
Aaron,"Significa “exaltado”, “elevado”, “força”, “montanha da força”, “mensageiro”. 
O nome masculino Aaron tem origem hebraica e helênica. De acordo com diferentes estudos, o nome pode ter surgido a partir de diversas raízes hebraicas, entre elas, Aharon, que significaria “montanha da força” e, por extensão, “elevado” e “exaltado”.","Hebraica, Francesa, Inglesa, Alemã",https://www.dicionariodenomesproprios.com.br/aaron/
Abdul,"Significa ""servo do"" ou ""servo dos"".
Esse nome, que é muito popular na língua árabe, urdu, panjabi, entre outras, deriva de nomes compostos que começam com 'Abd al, que significa “servo do”, como, por exemplo, o nome 'Abd al-'Aziz, que quer dizer “servo dos poderosos”.",Árabe,https://www.dicionariodenomesproprios.com.br/abdul/
Abel,"Significa “névoa”, “vapor”; “frágil, efêmero”.
Abel é um nome masculino de origem hebraica. Surge do hebraico Hébhel, que quer dizer literalmente “névoa, vapor”. Por extensão, alguns autores atribuem o significado de “respiração” e “frágil, efêmero”.","Hebraica, Bíblica",https://www.dicionariodenomesproprios.com.br/abel/
Abelardo,"Significa “criador de abelhas”.
Tem origem no nome francês Abélard, a partir do antigo Abeillard, de abeille, que quer dizer “criador de abelhas”.",Francesa,https://www.dicionariodenomesproprios.com.br/abelardo/
Abias,"Significa ""meu pai é Jeová"", ""meu pai é Deus"". 
Esse nome tem origem a partir do hebraico Abijah, que significa ""meu pai é Jeová"", ""meu pai é Deus"".","Hebraica, Bíblica",https://www.dicionariodenomesproprios.com.br/abias/
Abílio,"Significa “aquele que não é vingativo” ou “criador de abelhas”.
Há quem acredite que Abílio tenha sido originado no latim Abiliu, que quer dizer “aquele que não é vingativo”.","Latina, Francesa",https://www.dicionariodenomesproprios.com.br/abilio/
Abimael,"significa ""Deus é meu pai"", ""Deus é todo poderoso"", ""meu pai é o senhor"", ""de quem Deus é pai"".
Abimael é um nome de origem religiosa e deriva do hebraico Avima´el ou Abiyma´el.","Hebraica, Bíblica",https://www.dicionariodenomesproprios.com.br/abimael/
Abraão,"Significa ""pai de uma multidão"" ou ""pai de muitos"".
A origem do nome Abraão é hebraica, do nome Abraham, formado pelas palavras abram, que significa ""pai elevado"" e a palavra ""hamon"", que significa ""muitos, multidão"".",Hebraica,https://www.dicionariodenomesproprios.com.br/abraao/
Abreu,"significa ""aquele que é grato"", ""doador"", ""generoso"".
É um sobrenome muito tradicional em Portugal e tem origem toponímica porque deriva da terra de Abreu (atual vila da freguesia de S.Pedro de Merufe). Abreu, no Brasil, também é usado como primeiro nome.",Portuguesa,https://www.dicionariodenomesproprios.com.br/abreu/
Absalão,"Significa “paz de Deus”, “meu pai é paz”.
Sendo a versão portuguesa do nome hebraico Absalom, ele surge do hebraico Abseialom, que significa “paz de Deus”, “meu pai é paz”.",Hebraica,https://www.dicionariodenomesproprios.com.br/absalao/
Absalom,"Significa “paz de Deus”, “meu pai é paz”.
Absalom é um nome bíblico de origem hebraica. Surge do hebraico Abseialom, que significa “paz de Deus”, “meu pai é paz”.",Hebraica,https://www.dicionariodenomesproprios.com.br/absalom/
Absirto,De grande personalidade.,Mitológica,https://www.dicionariodenomesproprios.com.br/absirto/
Abstêmio,Que não bebe bebida alcoólica.,Latina,https://www.dicionariodenomesproprios.com.br/abstemio/
Abud,O mesmo que abu.,Árabe,https://www.dicionariodenomesproprios.com.br/abud/
Abundâncio,"""abundante"".",Latina,https://www.dicionariodenomesproprios.com.br/abundancio/
Abúndio,Variação de Abundâncio.,Latina,https://www.dicionariodenomesproprios.com.br/abundio/
Acabe,"Significado
Acabe é um nome de origem do hebraico, que também pode ser encontrado na forma de ​Acab​.",Hebraica,https://www.dicionariodenomesproprios.com.br/acabe/
Acace,Forma francesa de Acácio.,Francesa,https://www.dicionariodenomesproprios.com.br/acace/
Acácio,"Significa “inocente”, “sem maldade”, “que não tem malícia”.
Acácio é um nome português que surge como  variante masculina de Acácia, o qual tem origem no grego akákios, que significa “inocência”, “que não tem maldade”.",Grega,https://www.dicionariodenomesproprios.com.br/acacio/
Acaco,Filho de licaão.,Grega,https://www.dicionariodenomesproprios.com.br/acaco/
Academos,Herói da ática.,Grega,https://www.dicionariodenomesproprios.com.br/academos/
Acaiah,Anjo de guarda.,Hebraica,https://www.dicionariodenomesproprios.com.br/acaiah/
Acanto,"Planta com belas folhas, símbolo das belas artes.",Latina,https://www.dicionariodenomesproprios.com.br/acanto/
Acarnane,"Nome masculino do grego adamán, ""cardo-bento, cardo-santo"", nome de uma planta.",Grega,https://www.dicionariodenomesproprios.com.br/acarnane/
Acates,"Nome de um rio da sicília, hoje arila.",Latina,https://www.dicionariodenomesproprios.com.br/acates/
Acauã,"Significa “grande ave de rapina” ou ""gavião-acauã"".
Nome diferente, que tem origem indígena, através do termo em tupi waka'wã, possivelmente significa “grande ave de rapina” ou ""gavião-acauã"", referente à ave da família dos Falconídeos, chamada de Herpetotheres Cachinnans.",Indígena,https://www.dicionariodenomesproprios.com.br/acaua/
Acaz,"Significa ""possuidor"". Rei de Judá, filho de Joatão.",Hebraica,https://www.dicionariodenomesproprios.com.br/acaz/
Accioli,"Derivado de acciaioli, instrumento de aço usado para produzir fogo.",Italiana,https://www.dicionariodenomesproprios.com.br/accioli/
Acelino,O que concorda.,Latina,https://www.dicionariodenomesproprios.com.br/acelino/
Acelo,Filho de Hércules e mális.,Mitológica,https://www.dicionariodenomesproprios.com.br/acelo/
Acemiro,Anagrama de Américo.,Latina,https://www.dicionariodenomesproprios.com.br/acemiro/
Achille,Forma francesa e italiana de Aquiles.,Francesa,https://www.dicionariodenomesproprios.com.br/achille/
Achilles,"Significa “dor do povo”, “luto do povo”, “aflição da nação”.
É a variante inglesa e alemã de Aquiles, que tem origem no nome grego Achilléus, formado pelos elementos akhos, que significa “dor, sofrimento, aflição” e laos, que quer dizer “nação, povo”.",Grega,https://www.dicionariodenomesproprios.com.br/achilles/
Acilino,Fruto do carvalho.,Latina,https://www.dicionariodenomesproprios.com.br/acilino/
Acineto,Filho de Hércules.,Mitológica,https://www.dicionariodenomesproprios.com.br/acineto/
Ácio,"Nome de família de Lucius Accius, poeta romano.",Latina,https://www.dicionariodenomesproprios.com.br/acio/
Acir,"Significa ""dolorido, magoado"", ""o que vem da dor"" ou ""o que faz doer, o que magoa"".
É o diminutivo de Moacir, nome originado no tupi mbo'a'su ira, composto pela junção das palavras, mbo'a'su, que significa ""dor"" ou ""fazer doer"", e ira, que quer dizer ""saído de"".","Tupi, Indígena",https://www.dicionariodenomesproprios.com.br/acir/
Acis,Filho de Fauno simíetis.,Latina,https://www.dicionariodenomesproprios.com.br/acis/
Ácmon,Pai da terra e do céu entre os fenícios.,Mitológica,https://www.dicionariodenomesproprios.com.br/acmon/
Acrísio,"Rei de Argos, na grécia.",Mitológica,https://www.dicionariodenomesproprios.com.br/acrisio/
Acteão,Filho de Aristeu.,Grega,https://www.dicionariodenomesproprios.com.br/acteao/
Acúrcio,Santo mártir grego.,Grega,https://www.dicionariodenomesproprios.com.br/acurcio/
Acúrio,Santo mártir.,Latina,https://www.dicionariodenomesproprios.com.br/acurio/
Acúrsio,Santo mártir.,Hebraica,https://www.dicionariodenomesproprios.com.br/acursio/
Adah,"Adorno, enfeite.",Hebraica,https://www.dicionariodenomesproprios.com.br/adah/
Adailton,"Significa “o que foi acrescentado”.
Adailton é um nome que surge como uma invenção brasileira, mas sua origem é incerta.","Latina, Inglesa",https://www.dicionariodenomesproprios.com.br/adailton/
Adair,"Significa “passagem de uma vau sobre um carvalho” ou “o circuito, o que cincunda”.
Adair é um nome céltico que surge a partir do celta Athadara, cujo significado é “passagem de uma vau (porção de água) sobre um carvalho”.","Árabe, Celta",https://www.dicionariodenomesproprios.com.br/adair/
Adalard,Forma inglesa de adalardo.,Inglesa,https://www.dicionariodenomesproprios.com.br/adalard/
Adalberon,Forte.,Grega,https://www.dicionariodenomesproprios.com.br/adalberon/
Adalberto,"Significa “nobre ilustre”, “ilustre por sua nobreza”, “brilho da nobreza”.
Tem origem no germânico Adalbert formado pelos elementos adal, que quer dizer “nobre” e berth, que significa “ilustre, brilhante”.",Germânica,https://www.dicionariodenomesproprios.com.br/adalberto/
Adalelmo,"""proteção de nobre"".",Germânica,https://www.dicionariodenomesproprios.com.br/adalelmo/
Adalfredo,"Significa “nobre”, “pacífico”, “pessoa de qualidade e méritos”, “majestoso”.
O nome Adalfredo vem do também germânico Adolf e é a junção de adal, que significa “nobre”, com frid, que significa “pacífico”.",Germânica,https://www.dicionariodenomesproprios.com.br/adalfredo/
Adaliah,O Senhor é Justo.,Hebraica,https://www.dicionariodenomesproprios.com.br/adaliah/
Adalmiro,Revestido de nobreza.,Teutônica,https://www.dicionariodenomesproprios.com.br/adalmiro/
Adalrico,"""senhor de nobreza"".",Germânica,https://www.dicionariodenomesproprios.com.br/adalrico/
Adalton,"Significa “aumentado” ou “crescido”.
Adalton é um nome masculino e que foi originado a partir do latim adauctus, que significa “aumentado” ou “crescido”, na tradução para o português.",Latina,https://www.dicionariodenomesproprios.com.br/adalton/
Adalvino,Amigo nobre ou da nobreza.,Germânica,https://www.dicionariodenomesproprios.com.br/adalvino/
Adamantino,O indomável.,Grega,https://www.dicionariodenomesproprios.com.br/adamantino/
Adamanto,Diamante impossível de domar.,Grega,https://www.dicionariodenomesproprios.com.br/adamanto/
Adamastor,"Um dos gigantes, que pretendia destronar Júpiter.",Grega,https://www.dicionariodenomesproprios.com.br/adamastor/
Adamir,Pai ilustre.,Germânica,https://www.dicionariodenomesproprios.com.br/adamir/
